date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
13:53:19	1933/1933	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202016%2013:53:20%20GMT	https://www.calm.com/robots.txt		(from )
13:53:20	66887/66887	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202016%2013:53:20%20GMT	https://www.calm.com/	E:/Ung%20dung/Calm/www.calm.com/index.html	(from )
13:53:20	3327/3327	---M--	200	added ('OK')	image/png	etag:W/%22cff-158467aaa90%22	https://www.calm.com/images/favicon.png	E:/Ung%20dung/Calm/www.calm.com/images/favicon.png	(from https://www.calm.com/)
13:53:21	9318/9318	---M-Z	200	added ('OK')	application/x-javascript	etag:%22248f80652da71d2e289cd6c3b0ff51d7%22	http://connect.facebook.net/en_US/fbevents.js	E:/Ung%20dung/Calm/connect.facebook.net/en_US/fbevents.js	(from https://www.calm.com/)
13:53:22	88813/88813	---MCZ	200	added ('OK')	text/css	etag:W/%2215aed-158467a1df0%22	https://www.calm.com/css/homepage.css	E:/Ung%20dung/Calm/www.calm.com/css/homepage.css	(from https://www.calm.com/)
13:53:22	53925/53925	---M-Z	200	added ('OK')	application/javascript	etag:%22e42dd3286d91bd00aec9d658e91b333c%22	https://d24n15hnbwhuhn.cloudfront.net/libs/amplitude-2.6.0-min.gz.js	E:/Ung%20dung/Calm/d24n15hnbwhuhn.cloudfront.net/libs/amplitude-2.6.0-min.gz.js	(from https://www.calm.com/)
13:53:24	46646/46646	---MCZ	200	added ('OK')	application/javascript	etag:W/%22a568d73f6d051d3da759dbdfe7cc1150%22	https://js.pusher.com/3.0/pusher.min.js	E:/Ung%20dung/Calm/js.pusher.com/3.0/pusher.min.js	(from https://www.calm.com/)
13:53:24	13787/13787	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202016%2013:53:25%20GMT	https://www.calm.com/subscribe	E:/Ung%20dung/Calm/www.calm.com/subscribe.html	(from https://www.calm.com/)
13:53:25	9388/9388	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202016%2013:53:25%20GMT	https://www.calm.com/faq/web	E:/Ung%20dung/Calm/www.calm.com/faq/web.html	(from https://www.calm.com/)
13:53:25	16278/16278	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202016%2013:53:25%20GMT	https://www.calm.com/gift	E:/Ung%20dung/Calm/www.calm.com/gift.html	(from https://www.calm.com/)
13:53:25	5982/5982	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202016%2013:53:26%20GMT	https://www.calm.com/teams	E:/Ung%20dung/Calm/www.calm.com/teams.html	(from https://www.calm.com/)
13:53:26	9123/9123	---MCZ	200	added ('OK')	text/html	date:Sat,%2012%20Nov%202016%2013:53:26%20GMT	https://www.calm.com/book	E:/Ung%20dung/Calm/www.calm.com/book.html	(from https://www.calm.com/)
13:53:26	96/96	---M--	302	error ('Found')	text/html	date:Sat,%2012%20Nov%202016%2013:53:26%20GMT	https://www.calm.com/jobs	E:/Ung%20dung/Calm/www.calm.com/jobs	(from https://www.calm.com/)
